1,1,1,0.7,0.5,0.4,0.3,0.2
0,0,1.154,0.847,0.64488,0.5934,0.468,0.361
0,25,1.127,0.822,0.68,0.537,0.46,0.377
0,50,1.05,0.73,0.53,0.39,0.32,0.24
0,75,0.98,0.65,0.45,0.41,0.29,0.27
0,100,0.99,0.6,0.42,0.34,0.27,0.15
25,0,1.24,0.889,0.724,0.624,0.487,0.376
25,25,1.08,0.827,0.647,0.519,0.401,0.33
25,50,1.07,0.72,0.55,0.42,0.31,0.23
25,75,0.965,0.616,0.42,0.425,0.31,0.22
25,100,0.93,0.55,0.4,0.33,0.35,0.24
50,0,1.174,0.848,0.6715,0.5855,0.489,0.32
50,25,1.081,0.77,0.596,0.461,0.413,0.32
50,50,1.06,0.73,0.53,0.39,0.35,0.22
50,75,0.95,0.67,0.41,0.36,0.28,0.17
50,100,0.88,0.6,0.38,0.31,0.25,0.14
75,0,1.212,0.846,0.664,0.567,0.425,0.425
75,25,1.104,0.803,0.611,0.522,0.415,0.296
75,50,1.2,0.83,0.6,0.45,0.4,0.21
75,75,0.93,0.65,0.44,0.34,0.27,0.15
75,100,0.86,0.56,0.38,0.32,0.21,0.12
100,0,1.162,0.838,0.668,0.556,0.435,0.4
100,25,1.115,0.8,0.598,0.5,0.4,0.31
100,50,1.03,0.695,0.52,0.43,0.35,0.21
100,75,0.92,0.64,0.46,0.33,0.33,0.13
100,100,0.85,0.54,0.38,0.33,0.19,0.13
